# Frequency (eV) 	 Current Real 	 Imaginary
0.131195	0.00150416	-0.112459
0.131563	0.00153024	-0.112807
0.13193	0.00155649	-0.113156
0.132298	0.00158292	-0.113504
0.132665	0.00160951	-0.113853
0.133033	0.00163627	-0.114202
0.1334	0.00166321	-0.114552
0.133768	0.00169032	-0.114902
0.134135	0.00171761	-0.115252
0.134503	0.00174507	-0.115602
0.13487	0.00177271	-0.115953
0.135238	0.00180053	-0.116304
0.135605	0.00182854	-0.116656
0.135972	0.00185672	-0.117008
0.13634	0.00188509	-0.11736
0.136707	0.00191364	-0.117712
0.137075	0.00194238	-0.118065
0.137442	0.0019713	-0.118418
0.13781	0.00200041	-0.118771
0.138177	0.00202971	-0.119125
0.138545	0.0020592	-0.119479
0.138912	0.00208888	-0.119834
0.13928	0.00211876	-0.120188
0.139647	0.00214882	-0.120543
0.140015	0.00217908	-0.120899
0.140382	0.00220954	-0.121254
0.14075	0.00224019	-0.12161
0.141117	0.00227104	-0.121967
0.141485	0.00230209	-0.122323
0.141852	0.00233334	-0.12268
0.14222	0.00236479	-0.123037
0.142587	0.00239644	-0.123395
0.142955	0.00242829	-0.123753
0.143322	0.00246035	-0.124111
0.14369	0.00249261	-0.12447
0.144057	0.00252507	-0.124828
0.144425	0.00255774	-0.125188
0.144792	0.00259062	-0.125547
0.14516	0.00262371	-0.125907
0.145527	0.002657	-0.126267
0.145895	0.00269051	-0.126627
0.146262	0.00272422	-0.126988
0.14663	0.00275815	-0.127349
0.146997	0.00279228	-0.127711
0.147365	0.00282663	-0.128072
0.147732	0.00286119	-0.128434
0.1481	0.00289597	-0.128797
0.148467	0.00293096	-0.129159
0.148835	0.00296617	-0.129522
0.149202	0.00300159	-0.129886
0.14957	0.00303723	-0.130249
0.149937	0.00307308	-0.130613
0.150305	0.00310916	-0.130977
0.150672	0.00314545	-0.131342
0.15104	0.00318196	-0.131707
0.151407	0.00321869	-0.132072
0.151775	0.00325564	-0.132438
0.152142	0.00329281	-0.132803
0.15251	0.0033302	-0.133169
0.152877	0.00336781	-0.133536
0.153245	0.00340565	-0.133903
0.153612	0.00344371	-0.13427
0.15398	0.00348199	-0.134637
0.154347	0.00352049	-0.135005
0.154715	0.00355921	-0.135373
0.155082	0.00359816	-0.135741
0.15545	0.00363734	-0.13611
0.155817	0.00367674	-0.136479
0.156185	0.00371636	-0.136848
0.156552	0.00375621	-0.137217
0.15692	0.00379628	-0.137587
0.157287	0.00383658	-0.137957
0.157655	0.00387711	-0.138328
0.158022	0.00391786	-0.138699
0.15839	0.00395883	-0.13907
0.158757	0.00400004	-0.139441
0.159125	0.00404147	-0.139813
0.159492	0.00408312	-0.140185
0.15986	0.004125	-0.140557
0.160227	0.00416711	-0.14093
0.160595	0.00420945	-0.141303
0.160962	0.00425201	-0.141676
0.16133	0.0042948	-0.142049
0.161697	0.00433782	-0.142423
0.162065	0.00438106	-0.142797
0.162432	0.00442453	-0.143172
0.162799	0.00446823	-0.143546
0.163167	0.00451215	-0.143921
0.163534	0.0045563	-0.144297
0.163902	0.00460067	-0.144672
0.164269	0.00464528	-0.145048
0.164637	0.0046901	-0.145425
0.165004	0.00473516	-0.145801
0.165372	0.00478044	-0.146178
0.165739	0.00482594	-0.146555
0.166107	0.00487167	-0.146933
0.166474	0.00491763	-0.147311
0.166842	0.00496381	-0.147689
0.167209	0.00501021	-0.148067
0.167577	0.00505684	-0.148446
0.167944	0.00510369	-0.148825
0.168312	0.00515077	-0.149204
0.168679	0.00519807	-0.149584
0.169047	0.00524559	-0.149964
0.169414	0.00529334	-0.150344
0.169782	0.0053413	-0.150724
0.170149	0.00538949	-0.151105
0.170517	0.0054379	-0.151486
0.170884	0.00548653	-0.151868
0.171252	0.00553538	-0.152249
0.171619	0.00558445	-0.152631
0.171987	0.00563374	-0.153014
0.172354	0.00568325	-0.153396
0.172722	0.00573297	-0.153779
0.173089	0.00578292	-0.154162
0.173457	0.00583308	-0.154546
0.173824	0.00588345	-0.15493
0.174192	0.00593405	-0.155314
0.174559	0.00598485	-0.155698
0.174927	0.00603588	-0.156083
0.175294	0.00608711	-0.156468
0.175662	0.00613856	-0.156854
0.176029	0.00619022	-0.157239
0.176397	0.0062421	-0.157625
0.176764	0.00629418	-0.158011
0.177132	0.00634648	-0.158398
0.177499	0.00639899	-0.158785
0.177867	0.0064517	-0.159172
0.178234	0.00650462	-0.15956
0.178602	0.00655776	-0.159947
0.178969	0.00661109	-0.160336
0.179337	0.00666464	-0.160724
0.179704	0.00671839	-0.161113
0.180072	0.00677234	-0.161502
0.180439	0.00682649	-0.161891
0.180807	0.00688085	-0.162281
0.181174	0.00693542	-0.162671
0.181542	0.00699018	-0.163061
0.181909	0.00704514	-0.163452
0.182277	0.0071003	-0.163843
0.182644	0.00715566	-0.164234
0.183012	0.00721122	-0.164625
0.183379	0.00726697	-0.165017
0.183747	0.00732292	-0.165409
0.184114	0.00737907	-0.165802
0.184482	0.00743541	-0.166195
0.184849	0.00749194	-0.166588
0.185217	0.00754866	-0.166981
0.185584	0.00760558	-0.167375
0.185952	0.00766268	-0.167769
0.186319	0.00771998	-0.168164
0.186687	0.00777746	-0.168558
0.187054	0.00783513	-0.168953
0.187422	0.00789298	-0.169349
0.187789	0.00795102	-0.169745
0.188157	0.00800925	-0.170141
0.188524	0.00806766	-0.170537
0.188892	0.00812625	-0.170934
0.189259	0.00818502	-0.171331
0.189627	0.00824397	-0.171728
0.189994	0.0083031	-0.172126
0.190361	0.00836241	-0.172524
0.190729	0.0084219	-0.172922
0.191096	0.00848156	-0.173321
0.191464	0.0085414	-0.17372
