# Frequency (eV) 	 Current Real 	 Imaginary
0.109513	0.00198504	0.000517914
0.10988	0.00172846	0.000785306
0.110248	0.00143846	0.00100872
0.110615	0.00112227	0.00118428
0.110983	0.000787573	0.00130927
0.11135	0.000442226	0.00138217
0.111718	9.41502e-05	0.00140268
0.112085	-0.000248882	0.00137166
0.112453	-0.000579412	0.00129109
0.11282	-0.000890456	0.00116404
0.113188	-0.00117565	0.000994504
0.113555	-0.00142939	0.000787345
0.113923	-0.00164691	0.000548128
0.11429	-0.0018244	0.000282988
0.114658	-0.00195907	-1.5334e-06
0.115025	-0.00204914	-0.000298641
0.115393	-0.00209391	-0.000601454
0.11576	-0.00209369	-0.00090316
0.116128	-0.00204981	-0.00119717
0.116495	-0.00196455	-0.00147727
0.116863	-0.00184102	-0.00173775
0.11723	-0.00168312	-0.00197349
0.117598	-0.00149539	-0.00218011
0.117965	-0.0012829	-0.002354
0.118333	-0.00105111	-0.00249242
0.1187	-0.000805751	-0.00259349
0.119068	-0.000552647	-0.00265624
0.119435	-0.000297621	-0.00268058
0.119803	-4.63404e-05	-0.00266728
0.12017	0.000195804	-0.00261794
0.120538	0.000423806	-0.00253488
0.120905	0.00063315	-0.00242111
0.121273	0.00081989	-0.00228021
0.12164	0.000980721	-0.00211622
0.122008	0.00111303	-0.00193356
0.122375	0.00121491	-0.00173688
0.122743	0.00128523	-0.00153101
0.12311	0.00132355	-0.00132075
0.123478	0.00133017	-0.00111084
0.123845	0.00130606	-0.000905832
0.124213	0.00125281	-0.000709998
0.12458	0.00117259	-0.000527239
0.124948	0.00106806	-0.000361028
0.125315	0.000942291	-0.000214343
0.125683	0.000798683	-8.96298e-05
0.12605	0.000640878	1.12306e-05
0.126418	0.000472671	8.69352e-05
0.126785	0.000297915	0.000136761
0.127153	0.000120443	0.000160552
0.12752	-5.60159e-05	0.000158699
0.127888	-0.000227909	0.0001321
0.128255	-0.000391924	8.21213e-05
0.128623	-0.000545049	1.05443e-05
0.12899	-0.000684616	-8.04916e-05
0.129358	-0.000808339	-0.00018855
0.129725	-0.000914341	-0.000310961
0.130093	-0.00100117	-0.000444886
0.13046	-0.0010678	-0.000587382
0.130828	-0.00111365	-0.000735465
0.131195	-0.00113855	-0.000886167
0.131563	-0.00114271	-0.00103659
0.13193	-0.00112674	-0.00118396
0.132298	-0.0010916	-0.00132567
0.132665	-0.00103854	-0.0014593
0.133033	-0.000969102	-0.0015827
0.1334	-0.000885052	-0.00169395
0.133768	-0.000788355	-0.00179142
0.134135	-0.000681125	-0.00187378
0.134503	-0.000565592	-0.00194
0.13487	-0.000444054	-0.00198936
0.135238	-0.000318845	-0.00202144
0.135605	-0.000192293	-0.00203612
0.135972	-6.66902e-05	-0.00203358
0.13634	5.574e-05	-0.00201426
0.136707	0.000172875	-0.00197889
0.137075	0.00028272	-0.00192844
0.137442	0.000383429	-0.00186409
0.13781	0.000473334	-0.00178725
0.138177	0.00055096	-0.0016995
0.138545	0.000615048	-0.0016026
0.138912	0.000664567	-0.00149844
0.13928	0.00069873	-0.00138901
0.139647	0.000717006	-0.0012764
0.140015	0.000719129	-0.00116273
0.140382	0.000705102	-0.00105016
0.14075	0.000675204	-0.000940847
0.141117	0.000629989	-0.000836884
0.141485	0.000570281	-0.000740305
0.141852	0.000497168	-0.000653028
0.14222	0.000411992	-0.000576828
0.142587	0.00031633	-0.000513304
0.142955	0.000211976	-0.000463843
0.143322	0.000100912	-0.000429593
0.14369	-1.47144e-05	-0.000411431
0.144057	-0.000132635	-0.000409945
0.144425	-0.000250491	-0.000425403
0.144792	-0.000365881	-0.000457748
0.14516	-0.000476404	-0.000506582
0.145527	-0.000579712	-0.000571163
0.145895	-0.000673552	-0.000650411
0.146262	-0.000755825	-0.000742918
0.14663	-0.00082463	-0.000846966
0.146997	-0.000878313	-0.000960553
0.147365	-0.000915511	-0.00108143
0.147732	-0.000935194	-0.00120715
0.1481	-0.000936693	-0.00133509
0.148467	-0.000919732	-0.00146253
0.148835	-0.000884444	-0.00158672
0.149202	-0.000831382	-0.0017049
0.14957	-0.000761514	-0.00181443
0.149937	-0.000676218	-0.00191277
0.150305	-0.000577257	-0.00199764
0.150672	-0.000466747	-0.002067
0.15104	-0.000347117	-0.00211915
0.151407	-0.000221058	-0.00215278
0.151775	-9.14602e-05	-0.00216697
0.152142	3.865e-05	-0.0021613
0.15251	0.000166184	-0.00213579
0.152877	0.000288067	-0.00209096
0.153245	0.000401316	-0.00202781
0.153612	0.000503115	-0.00194781
0.15398	0.000590895	-0.00185287
0.154347	0.000662399	-0.0017453
0.154715	0.000715752	-0.00162777
0.155082	0.000749512	-0.00150321
0.15545	0.000762716	-0.0013748
0.155817	0.000754916	-0.00124583
0.156185	0.000726197	-0.00111966
0.156552	0.000677182	-0.000999591
0.15692	0.000609028	-0.000888826
0.157287	0.000523396	-0.000790347
0.157655	0.000422422	-0.000706844
0.158022	0.00030866	-0.000640641
0.15839	0.000185021	-0.00059363
0.158757	5.46981e-05	-0.00056721
0.159125	-7.8913e-05	-0.000562248
0.159492	-0.000212308	-0.00057905
0.15986	-0.000341965	-0.000617347
0.160227	-0.000464442	-0.000676294
0.160595	-0.000576468	-0.000754491
0.160962	-0.000675038	-0.000850019
0.16133	-0.000757493	-0.000960482
0.161697	-0.000821599	-0.00108308
0.162065	-0.000865606	-0.00121466
0.162432	-0.000888305	-0.00135185
0.162799	-0.000889059	-0.00149108
0.163167	-0.000867827	-0.00162875
0.163534	-0.000825163	-0.00176129
0.163902	-0.000762207	-0.00188526
0.164269	-0.00068065	-0.00199745
0.164637	-0.000582693	-0.002095
0.165004	-0.000470983	-0.00217544
0.165372	-0.000348538	-0.00223675
0.165739	-0.000218667	-0.00227749
0.166107	-8.48707e-05	-0.00229676
0.166474	4.92518e-05	-0.00229425
0.166842	0.000180108	-0.00227028
0.167209	0.000304214	-0.00222575
0.167577	0.000418291	-0.00216212
0.167944	0.000519359	-0.0020814
0.168312	0.000604821	-0.00198604
0.168679	0.000672537	-0.00187888
0.169047	0.000720878	-0.0017631
0.169414	0.000748777	-0.00164208
0.169782	0.000755752	-0.00151931
0.170149	0.000741919	-0.00139832
0.170517	0.000707981	-0.00128253
0.170884	0.00065521	-0.00117521
0.171252	0.0005854	-0.00107934
0.171619	0.000500817	-0.000997533
0.171987	0.000404123	-0.000931983
0.172354	0.0002983	-0.000884386
0.172722	0.000186559	-0.000855903
0.173089	7.22453e-05	-0.000847129
0.173457	-4.1263e-05	-0.000858081
0.173824	-0.000150652	-0.000888203
0.174192	-0.000252768	-0.000936389
0.174559	-0.00034471	-0.00100102
0.174927	-0.000423912	-0.00108002
0.175294	-0.000488212	-0.00117092
0.175662	-0.000535914	-0.00127093
0.176029	-0.000565829	-0.00137705
0.176397	-0.000577308	-0.00148611
0.176764	-0.00057025	-0.00159492
0.177132	-0.0005451	-0.00170033
0.177499	-0.000502827	-0.00179936
0.177867	-0.000444889	-0.00188923
0.178234	-0.000373183	-0.00196748
0.178602	-0.000289982	-0.00203203
0.178969	-0.000197861	-0.00208123
0.179337	-9.96175e-05	-0.0021139
